library_name,library_lat,library_lon
Main,38.24439,-85.75786
Bon Air,38.21504,-85.65518
Crescent Hill,38.25463,-85.69113
Fairdale,38.1061,-85.76062
Highlands,38.2346,-85.718
Iroquois,38.18248,-85.7716
Middletown,38.24416,-85.52325
Jeffersontown,38.19767,-85.56118
Newburg,38.18127,-85.67052
Northeast,38.26861,-85.5765
Portland,38.27525,-85.80126
St. Matthews,38.249,-85.64918
Shawnee,38.25001,-85.8172
Shively,38.19529,-85.8068
South Central,38.14464,-85.67587
Southwest,38.11413,-85.85947
Western,38.24982,-85.76801
